match_id,team,position_bin,progressive_distance,team_progressive_distance,progressive_distance_share,outcome,outcome_binary
7480,OL Reign,Center Back,1486.0,6278.0,0.23669958,Win,Win
7480,OL Reign,Central Midfield,1197.0,6278.0,0.19066581,Win,Win
7480,OL Reign,Fullback,1673.0,6278.0,0.26648614,Win,Win
7480,OL Reign,Goalkeeper,977.0,6278.0,0.15562281,Win,Win
7480,OL Reign,Striker,194.0,6278.0,0.03090156,Win,Win
7480,OL Reign,Wide Forward,751.0,6278.0,0.119624086,Win,Win
7480,Utah Royals,Attacking Midfield,492.0,6046.0,0.08137611,Loss,Non-Win
7480,Utah Royals,Center Back,1336.0,6046.0,0.22097254,Loss,Non-Win
7480,Utah Royals,Defensive Midfield,540.0,6046.0,0.08931525,Loss,Non-Win
7480,Utah Royals,Fullback,1633.0,6046.0,0.27009594,Loss,Non-Win
7480,Utah Royals,Goalkeeper,1587.0,6046.0,0.2624876,Loss,Non-Win
7480,Utah Royals,Striker,153.0,6046.0,0.025305988,Loss,Non-Win
7480,Utah Royals,Wide Forward,305.0,6046.0,0.050446577,Loss,Non-Win
7494,Houston Dash,Attacking Midfield,326.0,5197.0,0.062728494,Loss,Non-Win
7494,Houston Dash,Center Back,1156.0,5197.0,0.22243603,Loss,Non-Win
7494,Houston Dash,Central Midfield,843.0,5197.0,0.16220896,Loss,Non-Win
7494,Houston Dash,Defensive Midfield,241.0,5197.0,0.04637291,Loss,Non-Win
7494,Houston Dash,Fullback,1300.0,5197.0,0.2501443,Loss,Non-Win
7494,Houston Dash,Goalkeeper,917.0,5197.0,0.17644796,Loss,Non-Win
7494,Houston Dash,Striker,414.0,5197.0,0.07966134,Loss,Non-Win
7494,Utah Royals,Attacking Midfield,955.0,5945.0,0.1606392,Win,Win
7494,Utah Royals,Center Back,1334.0,5945.0,0.22439024,Win,Win
7494,Utah Royals,Central Midfield,445.0,5945.0,0.07485282,Win,Win
7494,Utah Royals,Defensive Midfield,1185.0,5945.0,0.19932717,Win,Win
7494,Utah Royals,Fullback,1144.0,5945.0,0.19243062,Win,Win
7494,Utah Royals,Goalkeeper,697.0,5945.0,0.11724138,Win,Win
7494,Utah Royals,Striker,103.0,5945.0,0.017325483,Win,Win
7494,Utah Royals,Wide Forward,82.0,5945.0,0.013793103,Win,Win
7497,Chicago Red Stars,Center Back,868.0,5374.0,0.16151842,Draw,Non-Win
7497,Chicago Red Stars,Central Midfield,1014.0,5374.0,0.18868627,Draw,Non-Win
7497,Chicago Red Stars,Fullback,945.0,5374.0,0.17584667,Draw,Non-Win
7497,Chicago Red Stars,Goalkeeper,1370.0,5374.0,0.25493115,Draw,Non-Win
7497,Chicago Red Stars,Striker,518.0,5374.0,0.096390024,Draw,Non-Win
7497,Chicago Red Stars,Wide Forward,659.0,5374.0,0.12262747,Draw,Non-Win
7497,North Carolina Courage,Center Back,1057.0,5527.0,0.191243,Draw,Non-Win
7497,North Carolina Courage,Central Midfield,886.0,5527.0,0.16030397,Draw,Non-Win
7497,North Carolina Courage,Defensive Midfield,283.0,5527.0,0.051203184,Draw,Non-Win
7497,North Carolina Courage,Fullback,1518.0,5527.0,0.2746517,Draw,Non-Win
7497,North Carolina Courage,Goalkeeper,907.0,5527.0,0.1641035,Draw,Non-Win
7497,North Carolina Courage,Striker,268.0,5527.0,0.048489235,Draw,Non-Win
7497,North Carolina Courage,Wide Forward,608.0,5527.0,0.11000543,Draw,Non-Win
7521,NJ/NY Gotham FC,Attacking Midfield,242.0,4835.0,0.050051708,Loss,Non-Win
7521,NJ/NY Gotham FC,Center Back,781.0,4835.0,0.16153051,Loss,Non-Win
7521,NJ/NY Gotham FC,Central Midfield,808.0,4835.0,0.1671148,Loss,Non-Win
