match_id,team,opponent,team_xg,opp_xg,xg_diff,shots,outcome
7480,OL Reign,Utah Royals,0.86433196,0.86182815,0.0025038123,9,Win
7480,Utah Royals,OL Reign,0.86182815,0.86433196,0.0025038123,11,Loss
7494,Houston Dash,Utah Royals,1.1311862,1.2362443,0.105058074,16,Loss
7494,Utah Royals,Houston Dash,1.2362443,1.1311862,0.105058074,9,Win
7497,Chicago Red Stars,North Carolina Courage,0.9400072,1.1445636,0.20455635,12,Draw
7497,North Carolina Courage,Chicago Red Stars,1.1445636,0.9400072,0.20455635,17,Draw
7521,NJ/NY Gotham FC,Utah Royals,0.6129193,0.57048845,0.042430818,10,Loss
7521,Utah Royals,NJ/NY Gotham FC,0.57048845,0.6129193,0.042430818,8,Win
7522,Houston Dash,North Carolina Courage,0.959971,0.7525157,0.20745534,13,Draw
7522,North Carolina Courage,Houston Dash,0.7525157,0.959971,0.20745534,7,Draw
7523,OL Reign,Orlando Pride,1.5595658,1.5773,0.01773417,18,Draw
7523,Orlando Pride,OL Reign,1.5773,1.5595658,0.01773417,15,Draw
7524,Houston Dash,Orlando Pride,2.1762881,1.9481686,0.22811949,17,Win
7524,Orlando Pride,Houston Dash,1.9481686,2.1762881,0.22811949,23,Loss
7549,Iceland,Nigeria,1.5521619,1.3121593,0.24000263,10,Loss
7549,Nigeria,Iceland,1.3121593,1.5521619,0.24000263,17,Win
7555,Colombia,Poland,1.3869427,1.1141979,0.2727449,13,Win
7555,Poland,Colombia,1.1141979,1.3869427,0.2727449,11,Loss
7557,Iran,Portugal,1.5769696,1.5224179,0.05455172,9,Draw
7557,Portugal,Iran,1.5224179,1.5769696,0.05455172,15,Draw
7563,Denmark,France,0.13895808,0.4181405,0.27918243,5,Draw
7563,France,Denmark,0.4181405,0.13895808,0.27918243,11,Draw
7570,Belgium,England,0.9653343,1.2006863,0.23535204,14,Win
7570,England,Belgium,1.2006863,0.9653343,0.23535204,12,Loss
7571,Colombia,Senegal,0.28486186,0.35991007,0.07504821,4,Win
7571,Senegal,Colombia,0.35991007,0.28486186,0.07504821,7,Loss
7572,Japan,Poland,0.8823761,1.040714,0.15833795,11,Loss
7572,Poland,Japan,1.040714,0.8823761,0.15833795,11,Win
7576,Portugal,Spain,1.4345958,1.6609466,0.22635078,10,Draw
7576,Spain,Portugal,1.6609466,1.4345958,0.22635078,12,Draw
7580,Argentina,France,1.4465594,1.6380271,0.19146764,12,Loss
7580,France,Argentina,1.6380271,1.4465594,0.19146764,9,Win
8649,France,Uruguay,0.53878295,0.6931953,0.15441233,11,Win
8649,Uruguay,France,0.6931953,0.53878295,0.15441233,10,Loss
8651,England,Sweden,0.758236,0.8341866,0.07595062,12,Win
8651,Sweden,England,0.8341866,0.758236,0.07595062,8,Loss
8657,Belgium,England,1.3206584,1.3353566,0.014698148,11,Win
8657,England,Belgium,1.3353566,1.3206584,0.014698148,15,Loss
9602,Barcelona,Getafe,0.55572885,0.6546389,0.09891003,7,Win
9602,Getafe,Barcelona,0.6546389,0.55572885,0.09891003,13,Loss
9620,Barcelona,Girona,0.98248875,1.0864782,0.10398948,10,Win
9620,Girona,Barcelona,1.0864782,0.98248875,0.10398948,14,Loss
9695,Barcelona,Valencia,0.91335964,1.1002983,0.18693864,12,Draw
9695,Valencia,Barcelona,1.1002983,0.91335964,0.18693864,9,Draw
9783,Barcelona,Espanyol,0.8272799,0.5659254,0.2613545,13,Draw
9783,Espanyol,Barcelona,0.5659254,0.8272799,0.2613545,7,Draw
9827,Barcelona,Las Palmas,1.0450224,1.2387657,0.19374335,10,Draw
9827,Las Palmas,Barcelona,1.2387657,1.0450224,0.19374335,12,Draw
9889,Barcelona,Celta Vigo,2.129271,2.4107103,0.2814393,14,Draw
9889,Celta Vigo,Barcelona,2.4107103,2.129271,0.2814393,18,Draw
16073,Atlético Madrid,Barcelona,0.1419699,0.2964782,0.15450831,3,Draw
16073,Barcelona,Atlético Madrid,0.2964782,0.1419699,0.15450831,7,Draw
16079,Barcelona,Villarreal,1.0838478,0.8975264,0.18632138,15,Win
16079,Villarreal,Barcelona,0.8975264,1.0838478,0.18632138,12,Loss
16109,Barcelona,Celta Vigo,1.1343974,0.8996077,0.23478967,9,Win
16109,Celta Vigo,Barcelona,0.8996077,1.1343974,0.23478967,11,Loss
16120,Barcelona,Getafe,1.7478493,1.5908359,0.15701342,13,Win
16120,Getafe,Barcelona,1.5908359,1.7478493,0.15701342,10,Loss
16131,Barcelona,Eibar,1.1677537,0.9653472,0.20240653,7,Win
16131,Eibar,Barcelona,0.9653472,1.1677537,0.20240653,16,Loss
16196,Barcelona,Real Madrid,1.261196,1.088861,0.17233503,10,Win
16196,Real Madrid,Barcelona,1.088861,1.261196,0.17233503,18,Loss
16240,Barcelona,Villarreal,2.2952025,2.5728223,0.27761984,15,Draw
16240,Villarreal,Barcelona,2.5728223,2.2952025,0.27761984,16,Draw
18235,Bayern Munich,Inter Milan,1.0990973,1.1474298,0.048332572,22,Loss
18235,Inter Milan,Bayern Munich,1.1474298,1.0990973,0.048332572,12,Win
18245,Liverpool,Real Madrid,1.4270669,1.6771193,0.25005233,14,Loss
18245,Real Madrid,Liverpool,1.6771193,1.4270669,0.25005233,14,Win
19714,Chelsea FCW,Manchester City WFC,0.95133585,1.2317235,0.2803877,15,Draw
19714,Manchester City WFC,Chelsea FCW,1.2317235,0.95133585,0.2803877,16,Draw
19725,Brighton & Hove Albion WFC,Liverpool WFC,0.56948495,0.40407774,0.16540721,8,Loss
19725,Liverpool WFC,Brighton & Hove Albion WFC,0.40407774,0.56948495,0.16540721,8,Win
19727,Birmingham City WFC,Reading WFC,2.0609875,1.7814568,0.27953064,18,Win
19727,Reading WFC,Birmingham City WFC,1.7814568,2.0609875,0.27953064,16,Loss
19747,Manchester City WFC,Reading WFC,1.520054,1.6635934,0.14353943,23,Draw
19747,Reading WFC,Manchester City WFC,1.6635934,1.520054,0.14353943,22,Draw
19754,Arsenal WFC,Liverpool WFC,1.3949865,1.1526968,0.24228966,13,Win
19754,Liverpool WFC,Arsenal WFC,1.1526968,1.3949865,0.24228966,4,Loss
19761,Bristol City WFC,Liverpool WFC,1.1400002,1.1094337,0.030566573,9,Win
19761,Liverpool WFC,Bristol City WFC,1.1094337,1.1400002,0.030566573,12,Loss
19763,Birmingham City WFC,West Ham United LFC,1.8776156,1.9956306,0.11801505,13,Win
19763,West Ham United LFC,Birmingham City WFC,1.9956306,1.8776156,0.11801505,12,Loss
19767,Everton LFC,Reading WFC,1.0660822,1.3541334,0.28805113,11,Loss
19767,Reading WFC,Everton LFC,1.3541334,1.0660822,0.28805113,14,Win
19769,Brighton & Hove Albion WFC,West Ham United LFC,0.7826353,0.8987844,0.11614913,14,Loss
19769,West Ham United LFC,Brighton & Hove Albion WFC,0.8987844,0.7826353,0.11614913,9,Win
19770,Arsenal WFC,Manchester City WFC,1.2282118,0.9942718,0.23393995,17,Loss
19770,Manchester City WFC,Arsenal WFC,0.9942718,1.2282118,0.23393995,10,Win
19774,Bristol City WFC,Everton LFC,0.88637924,0.71296716,0.17341208,15,Win
19774,Everton LFC,Bristol City WFC,0.71296716,0.88637924,0.17341208,11,Loss
19782,Birmingham City WFC,Reading WFC,1.4469907,1.3252347,0.12175608,13,Win
19782,Reading WFC,Birmingham City WFC,1.3252347,1.4469907,0.12175608,15,Loss
19784,Brighton & Hove Albion WFC,Everton LFC,0.2651754,0.49650472,0.23132932,8,Draw
19784,Everton LFC,Brighton & Hove Albion WFC,0.49650472,0.2651754,0.23132932,10,Draw
19785,Arsenal WFC,Chelsea FCW,1.3118167,1.5063475,0.19453084,4,Loss
19785,Chelsea FCW,Arsenal WFC,1.5063475,1.3118167,0.19453084,14,Win
19787,Birmingham City WFC,Bristol City WFC,0.6263733,0.6158583,0.010514975,12,Loss
19787,Bristol City WFC,Birmingham City WFC,0.6158583,0.6263733,0.010514975,6,Win
19789,Birmingham City WFC,Chelsea FCW,1.1794362,1.190045,0.010608792,10,Win
19789,Chelsea FCW,Birmingham City WFC,1.190045,1.1794362,0.010608792,12,Loss
19793,Liverpool WFC,West Ham United LFC,0.8158847,0.770876,0.04500872,7,Win
19793,West Ham United LFC,Liverpool WFC,0.770876,0.8158847,0.04500872,15,Loss
19795,Reading WFC,West Ham United LFC,1.3254509,1.1745976,0.15085328,9,Loss
19795,West Ham United LFC,Reading WFC,1.1745976,1.3254509,0.15085328,13,Win
19796,Birmingham City WFC,Brighton & Hove Albion WFC,1.2765652,1.2872722,0.010707021,11,Loss
19796,Brighton & Hove Albion WFC,Birmingham City WFC,1.2872722,1.2765652,0.010707021,9,Win
19803,Everton LFC,West Ham United LFC,0.75741434,0.50475484,0.2526595,10,Win
19803,West Ham United LFC,Everton LFC,0.50475484,0.75741434,0.2526595,7,Loss
19817,Everton LFC,Reading WFC,1.42849,1.1440578,0.2844323,14,Win
19817,Reading WFC,Everton LFC,1.1440578,1.42849,0.2844323,9,Loss
19821,Arsenal WFC,Manchester City WFC,1.0847619,0.93259186,0.15217,12,Win
19821,Manchester City WFC,Arsenal WFC,0.93259186,1.0847619,0.15217,14,Loss
22912,Liverpool,Tottenham Hotspur,1.2031476,0.92426366,0.278884,14,Win
22912,Tottenham Hotspur,Liverpool,0.92426366,1.2031476,0.278884,16,Loss
22924,Nigeria Women's,Norway Women's,0.7977105,0.78580004,0.011910439,10,Loss
22924,Norway Women's,Nigeria Women's,0.78580004,0.7977105,0.011910439,10,Win
22940,Argentina Women's,Japan Women's,0.19493146,0.34651977,0.1515883,5,Draw
22940,Japan Women's,Argentina Women's,0.34651977,0.19493146,0.1515883,8,Draw
22945,Korea Republic Women's,Nigeria Women's,0.8575782,0.8019492,0.055629015,17,Loss
22945,Nigeria Women's,Korea Republic Women's,0.8019492,0.8575782,0.055629015,13,Win
22981,Korea Republic Women's,Norway Women's,2.1616879,2.162098,0.00041007996,22,Loss
22981,Norway Women's,Korea Republic Women's,2.162098,2.1616879,0.00041007996,8,Win
68320,Barcelona,Villarreal,0.36918712,0.39189318,0.022706062,11,Win
68320,Villarreal,Barcelona,0.39189318,0.36918712,0.022706062,6,Loss
68326,Barcelona,Celta Vigo,0.9041699,1.065674,0.16150403,11,Win
68326,Celta Vigo,Barcelona,1.065674,0.9041699,0.16150403,11,Loss
68330,Barcelona,Real Madrid,1.1765714,1.3186816,0.14211023,14,Loss
68330,Real Madrid,Barcelona,1.3186816,1.1765714,0.14211023,17,Win
68331,Barcelona,Real Zaragoza,1.3115822,1.0223958,0.28918636,13,Win
68331,Real Zaragoza,Barcelona,1.0223958,1.3115822,0.28918636,12,Loss
68341,Barcelona,Recreativo Huelva,0.9817041,0.79478174,0.18692237,11,Win
68341,Recreativo Huelva,Barcelona,0.79478174,0.9817041,0.18692237,13,Loss
68344,Canada Women's,Netherlands Women's,1.2482755,1.5332311,0.28495562,12,Loss
68344,Netherlands Women's,Canada Women's,1.5332311,1.2482755,0.28495562,8,Win
69171,Barcelona,Sevilla,1.0634787,0.94956195,0.113916755,21,Win
69171,Sevilla,Barcelona,0.94956195,1.0634787,0.113916755,10,Loss
69179,Barcelona,Real Zaragoza,0.94068605,1.0295382,0.08885211,8,Loss
69179,Real Zaragoza,Barcelona,1.0295382,0.94068605,0.08885211,14,Win
69180,Barcelona,Racing Santander,0.7401559,0.85009855,0.109942675,14,Draw
69180,Racing Santander,Barcelona,0.85009855,0.7401559,0.109942675,14,Draw
69182,Barcelona,Real Zaragoza,1.7041779,1.7766511,0.07247329,11,Win
69182,Real Zaragoza,Barcelona,1.7766511,1.7041779,0.07247329,15,Loss
69191,China PR Women's,Italy Women's,0.70429724,0.98979855,0.2855013,19,Loss
69191,Italy Women's,China PR Women's,0.98979855,0.70429724,0.2855013,15,Win
69208,Germany Women's,Sweden Women's,1.2699889,1.3226653,0.05267644,13,Loss
69208,Sweden Women's,Germany Women's,1.3226653,1.2699889,0.05267644,11,Win
69217,Barcelona,Villarreal,1.6785234,1.9465723,0.26804888,16,Draw
69217,Villarreal,Barcelona,1.9465723,1.6785234,0.26804888,6,Draw
69233,Barcelona,Racing Santander,0.9146558,0.6875707,0.22708511,16,Win
69233,Racing Santander,Barcelona,0.6875707,0.9146558,0.22708511,5,Loss
69235,Barcelona,Málaga,0.6359908,0.62075925,0.01523155,13,Win
69235,Málaga,Barcelona,0.62075925,0.6359908,0.01523155,5,Loss
69237,Atlético Madrid,Barcelona,0.9237893,1.0258515,0.102062166,13,Win
69237,Barcelona,Atlético Madrid,1.0258515,0.9237893,0.102062166,13,Loss
69240,Barcelona,Getafe,1.6227036,1.7982414,0.17553782,16,Win
69240,Getafe,Barcelona,1.7982414,1.6227036,0.17553782,15,Loss
69245,Barcelona,Real Madrid,1.4848442,1.7108759,0.22603166,10,Draw
69245,Real Madrid,Barcelona,1.7108759,1.4848442,0.22603166,13,Draw
69271,Barcelona,Osasuna,0.7660711,1.0326605,0.2665894,11,Win
69271,Osasuna,Barcelona,1.0326605,0.7660711,0.2665894,12,Loss
69272,Barcelona,Levante UD,0.85867864,1.0395664,0.18088776,10,Draw
69272,Levante UD,Barcelona,1.0395664,0.85867864,0.18088776,8,Draw
69280,Barcelona,RC Deportivo La Coruña,0.9275416,0.7417498,0.18579179,7,Win
69280,RC Deportivo La Coruña,Barcelona,0.7417498,0.9275416,0.18579179,7,Loss
69286,Barcelona,Racing Santander,0.80979985,1.1070344,0.2972346,9,Win
69286,Racing Santander,Barcelona,1.1070344,0.80979985,0.2972346,11,Loss
69287,Barcelona,Hércules,1.5802333,1.7690018,0.1887685,16,Loss
69287,Hércules,Barcelona,1.7690018,1.5802333,0.1887685,9,Win
69292,Atlético Madrid,Barcelona,1.2267812,1.4790149,0.25223362,13,Loss
69292,Barcelona,Atlético Madrid,1.4790149,1.2267812,0.25223362,8,Win
69301,England Women's,Sweden Women's,0.4738433,0.5492785,0.07543519,11,Loss
69301,Sweden Women's,England Women's,0.5492785,0.4738433,0.07543519,8,Win
69304,Barcelona,Villarreal,0.84571135,0.6675511,0.17816025,10,Win
69304,Villarreal,Barcelona,0.6675511,0.84571135,0.17816025,7,Loss
69319,Barcelona,Real Betis,0.579133,0.81426024,0.23512727,11,Draw
69319,Real Betis,Barcelona,0.81426024,0.579133,0.23512727,5,Draw
70287,Barcelona,Real Sociedad,1.1545138,0.99221337,0.16230047,8,Loss
70287,Real Sociedad,Barcelona,0.99221337,1.1545138,0.16230047,14,Win
70296,Atlético Madrid,Barcelona,0.77459747,0.9005526,0.1259551,8,Loss
70296,Barcelona,Atlético Madrid,0.9005526,0.77459747,0.1259551,9,Win
70300,Barcelona,Real Madrid,1.083443,0.9278928,0.15555024,10,Draw
70300,Real Madrid,Barcelona,0.9278928,1.083443,0.15555024,9,Draw
70304,Barcelona,RC Deportivo La Coruña,1.4175586,1.4033799,0.014178634,10,Win
70304,RC Deportivo La Coruña,Barcelona,1.4033799,1.4175586,0.014178634,12,Loss
70309,Barcelona,Real Zaragoza,0.6960768,0.7739886,0.077911794,8,Win
70309,Real Zaragoza,Barcelona,0.7739886,0.6960768,0.077911794,12,Loss
265830,Atlético Madrid,Barcelona,0.74918985,0.5244046,0.22478527,8,Draw
265830,Barcelona,Atlético Madrid,0.5244046,0.74918985,0.22478527,8,Draw
266160,Barcelona,Levante UD,1.0811465,0.8459463,0.23520017,11,Win
266160,Levante UD,Barcelona,0.8459463,1.0811465,0.23520017,14,Loss
266256,Atlético Madrid,Barcelona,0.5015924,0.49060833,0.010984063,9,Draw
266256,Barcelona,Atlético Madrid,0.49060833,0.5015924,0.010984063,10,Draw
266467,Barcelona,Celta Vigo,1.942481,2.1075397,0.16505861,18,Loss
266467,Celta Vigo,Barcelona,2.1075397,1.942481,0.16505861,19,Win
266603,Barcelona,Real Valladolid,0.7965791,0.7401713,0.05640781,12,Loss
266603,Real Valladolid,Barcelona,0.7401713,0.7965791,0.05640781,7,Win
266874,Athletic Club,Barcelona,0.8227133,0.9673182,0.14460486,10,Loss
266874,Barcelona,Athletic Club,0.9673182,0.8227133,0.14460486,16,Win
266961,Barcelona,RC Deportivo La Coruña,1.0406202,0.98660064,0.05401957,19,Draw
266961,RC Deportivo La Coruña,Barcelona,0.98660064,1.0406202,0.05401957,12,Draw
267076,Barcelona,Real Madrid,1.2154033,1.1099052,0.105498075,12,Draw
267076,Real Madrid,Barcelona,1.1099052,1.2154033,0.105498075,14,Draw
267502,Athletic Club,Barcelona,1.3852429,1.1438837,0.24135923,7,Draw
