match_id,team,position_bin,touches,team_touches,touch_share,outcome,outcome_binary
7480,OL Reign,Center Back,222,1226,0.18107667210440456,Win,Win
7480,OL Reign,Central Midfield,357,1226,0.2911908646003263,Win,Win
7480,OL Reign,Fullback,265,1226,0.21615008156606852,Win,Win
7480,OL Reign,Goalkeeper,60,1226,0.048939641109298535,Win,Win
7480,OL Reign,Striker,102,1226,0.08319738988580751,Win,Win
7480,OL Reign,Wide Forward,220,1226,0.17944535073409462,Win,Win
7480,Utah Royals,Attacking Midfield,142,1105,0.12850678733031673,Loss,Non-Win
7480,Utah Royals,Center Back,193,1105,0.17466063348416289,Loss,Non-Win
7480,Utah Royals,Defensive Midfield,220,1105,0.19909502262443438,Loss,Non-Win
7480,Utah Royals,Fullback,256,1105,0.2316742081447964,Loss,Non-Win
7480,Utah Royals,Goalkeeper,79,1105,0.07149321266968325,Loss,Non-Win
7480,Utah Royals,Striker,103,1105,0.09321266968325792,Loss,Non-Win
7480,Utah Royals,Wide Forward,112,1105,0.10135746606334842,Loss,Non-Win
7494,Houston Dash,Attacking Midfield,123,1073,0.11463187325256291,Loss,Non-Win
7494,Houston Dash,Center Back,176,1073,0.16402609506057783,Loss,Non-Win
7494,Houston Dash,Central Midfield,226,1073,0.21062441752096925,Loss,Non-Win
7494,Houston Dash,Defensive Midfield,86,1073,0.08014911463187326,Loss,Non-Win
7494,Houston Dash,Fullback,190,1073,0.17707362534948742,Loss,Non-Win
7494,Houston Dash,Goalkeeper,54,1073,0.05032618825722274,Loss,Non-Win
7494,Houston Dash,Striker,218,1073,0.2031686859273066,Loss,Non-Win
7494,Utah Royals,Attacking Midfield,526,1804,0.2915742793791574,Win,Win
7494,Utah Royals,Center Back,297,1804,0.16463414634146342,Win,Win
7494,Utah Royals,Central Midfield,119,1804,0.06596452328159645,Win,Win
7494,Utah Royals,Defensive Midfield,363,1804,0.20121951219512196,Win,Win
7494,Utah Royals,Fullback,278,1804,0.1541019955654102,Win,Win
7494,Utah Royals,Goalkeeper,65,1804,0.03603104212860311,Win,Win
7494,Utah Royals,Striker,139,1804,0.0770509977827051,Win,Win
7494,Utah Royals,Wide Forward,17,1804,0.009423503325942351,Win,Win
7497,Chicago Red Stars,Center Back,119,1210,0.09834710743801653,Draw,Non-Win
7497,Chicago Red Stars,Central Midfield,294,1210,0.24297520661157024,Draw,Non-Win
7497,Chicago Red Stars,Fullback,202,1210,0.1669421487603306,Draw,Non-Win
7497,Chicago Red Stars,Goalkeeper,56,1210,0.04628099173553719,Draw,Non-Win
7497,Chicago Red Stars,Striker,261,1210,0.21570247933884298,Draw,Non-Win
7497,Chicago Red Stars,Wide Forward,278,1210,0.22975206611570248,Draw,Non-Win
7497,North Carolina Courage,Center Back,186,1261,0.14750198255352895,Draw,Non-Win
7497,North Carolina Courage,Central Midfield,264,1261,0.20935765265662173,Draw,Non-Win
7497,North Carolina Courage,Defensive Midfield,83,1261,0.06582077716098335,Draw,Non-Win
7497,North Carolina Courage,Fullback,267,1261,0.21173671689135606,Draw,Non-Win
7497,North Carolina Courage,Goalkeeper,66,1261,0.052339413164155434,Draw,Non-Win
7497,North Carolina Courage,Striker,187,1261,0.14829500396510706,Draw,Non-Win
7497,North Carolina Courage,Wide Forward,208,1261,0.16494845360824742,Draw,Non-Win
7521,NJ/NY Gotham FC,Attacking Midfield,96,976,0.09836065573770492,Loss,Non-Win
7521,NJ/NY Gotham FC,Center Back,114,976,0.1168032786885246,Loss,Non-Win
7521,NJ/NY Gotham FC,Central Midfield,202,976,0.2069672131147541,Loss,Non-Win
7521,NJ/NY Gotham FC,Defensive Midfield,25,976,0.025614754098360656,Loss,Non-Win
7521,NJ/NY Gotham FC,Fullback,195,976,0.19979508196721313,Loss,Non-Win
